cell,rc_rise_ns,nldm_rise_ns,rc_fall_ns,nldm_fall_ns
invx1,0.0539436,0.05477405,0.0229162,0.05047288
invx2,0.0269718,0.04131703,0.0114581,0.03541187
invx4,0.0134859,0.03167352,0.0057291,0.0250584
invx8,0.0067429,0.02583182,0.0028645,0.01879252
nand2x1,0.0269718,0.05813816,0.0229162,0.0426687
nand2x2,0.0134859,0.04557792,0.0114581,0.0302135
nand2x4,0.0067429,0.03701535,0.0057291,0.02249148
nor2x1,0.0539436,0.05432815,0.0114581,0.05521086
nor2x2,0.0269718,0.04051338,0.0057291,0.04100214
nor2x4,0.0134859,0.03237265,0.0028645,0.03165016
maj3x1,0.0103265,-8.048697,0.0410313,8.206951
maj3x2,0.0051633,-8.055427,0.0205157,8.19579
maj3x4,0.0025816,-8.059007,0.0102578,8.190478
