cell,tin_ns,cl_pf,cell_fall,cell_rise,rise_transition,fall_transition
invx1,0.01,0.0005,0.01090135,0.009940717,0.007075857,0.005778178
invx1,0.01,0.0013,0.015338560000000001,0.01450585,0.01295168,0.010812750000000001
invx1,0.01,0.0035,0.02650444,0.026020309999999998,0.02911976,0.02467366
invx1,0.01,0.0094,0.05526573,0.05574214,0.07247617,0.061853399999999996
invx1,0.01,0.0249,0.1301738,0.1331689,0.1863804,0.1595313
invx1,0.01,0.0662,0.329495,0.3391849,0.4898804,0.4197975
invx1,0.01,0.1758,0.8583385,0.8857854,1.295294,1.1104800000000001
invx1,0.0231,0.0005,0.0133403,0.012992100000000001,0.00764087,0.006004876
invx1,0.0231,0.0013,0.01776236,0.017342379999999998,0.01296714,0.010824519999999999
invx1,0.0231,0.0035,0.02910592,0.028867550000000002,0.029125670000000003,0.02467806
invx1,0.0231,0.0094,0.05806882,0.05872757000000001,0.07247916,0.06185652999999999
invx1,0.0231,0.0249,0.1330838,0.1362479,0.1863816,0.1595318
invx1,0.0231,0.0662,0.3324506,0.3423071,0.4898808,0.4197978
invx1,0.0231,0.1758,0.8613117,0.8889251,1.2952949999999999,1.1104800000000001
invx1,0.0531,0.0005,0.01812249,0.01822145,0.01275501,0.009545213
invx1,0.0531,0.0013,0.02386091,0.02423008,0.01641854,0.01329402
invx1,0.0531,0.0035,0.03542505,0.035817009999999996,0.02974014,0.02508161
invx1,0.0531,0.0094,0.06458166,0.06569713,0.0724781,0.06186537
invx1,0.0531,0.0249,0.1397709,0.1433323,0.18638310000000002,0.15953979999999998
invx1,0.0531,0.0662,0.3392249,0.3494658,0.48988099999999996,0.4198001
invx1,0.0531,0.1758,0.8681226,0.8961177,1.2952949999999999,1.1104800000000001
invx1,0.1225,0.0005,0.024002609999999997,0.02464669,0.02103221,0.01576147
invx1,0.1225,0.0013,0.03290574,0.03424211,0.02706512,0.02178109
invx1,0.1225,0.0035,0.04962109,0.05153979,0.0384841,0.032501869999999995
invx1,0.1225,0.0094,0.08003286,0.08231017,0.07410519,0.06329913000000001
invx1,0.1225,0.0249,0.15535900000000002,0.1598859,0.18640069999999997,0.1595626
invx1,0.1225,0.0662,0.3549419,0.3660891,0.4898879,0.41980920000000005
invx1,0.1225,0.1758,0.8839035,0.9127894,1.295298,1.1104839999999998
invx1,0.2823,0.0005,0.030879530000000002,0.032335220000000005,0.03402149,0.02669705
invx1,0.2823,0.0013,0.04430677,0.04705426,0.04423557,0.035651539999999995
invx1,0.2823,0.0035,0.07000651,0.07448276,0.06235377,0.052273349999999996
invx1,0.2823,0.0094,0.11393439999999999,0.1194562,0.09314663999999999,0.08089624
invx1,0.2823,0.0249,0.1917387,0.1986138,0.1891646,0.1623845
invx1,0.2823,0.0662,0.39131509999999997,0.4046074,0.48988909999999997,0.4198043
invx1,0.2823,0.1758,0.9203315999999999,0.9512927,1.295297,1.110483
