"invx1  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.008135234,0.01017942,0.01536145,0.02819348,0.0608389,0.1472097,0.3761449
0.0231 ns,0.01141006,0.01325575,0.01824131,0.03110735,0.06388934,0.1503523,0.3793296
0.0531 ns,0.01558567,0.01887893,0.02545186,0.03818373,0.07099852,0.1575786,0.3866306
0.1225 ns,0.02101248,0.02627446,0.03670843,0.05477405,0.08790141,0.1744487,0.4035761
0.2823 ns,0.02791466,0.03575003,0.05197116,0.0807789,0.1269109,0.2138676,0.4428236
0.6507 ns,0.03777923,0.04872515,0.07220071,0.1162773,0.1896255,0.3056745,0.5340857
1.5000 ns,0.05300047,0.0677602,0.1003644,0.1638426,0.2760206,0.4604625,0.7475867

"invx1  |  cell_fall  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.008627616,0.01049524,0.01520603,0.02680815,0.05627603,0.1342539,0.3409646
0.0231 ns,0.01115819,0.01300109,0.01771054,0.02949138,0.05913477,0.1372033,0.3439514
0.0531 ns,0.01472688,0.01771395,0.02391218,0.03593032,0.06575419,0.1439759,0.3507968
0.1225 ns,0.01880971,0.02349076,0.03313985,0.05047288,0.08140189,0.1597431,0.3666735
0.2823 ns,0.0226326,0.02975002,0.04456778,0.07149147,0.11601,0.1964775,0.4033949
0.6507 ns,0.02407382,0.03464076,0.05676596,0.0976213,0.1665882,0.2792546,0.4886352
1.5000 ns,0.0185402,0.03356688,0.06571366,0.1261364,0.2305824,0.4048946,0.6849869

"invx1  |  rise_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.004833308,0.007279921,0.01400074,0.03202793,0.07938844,0.2055806,0.5404638
0.0231 ns,0.005942004,0.007752228,0.01401806,0.03203504,0.07939049,0.2055815,0.5404641
0.0531 ns,0.01065336,0.012721,0.01694081,0.03236356,0.07940323,0.2055839,0.5404663
0.1225 ns,0.01765569,0.02078193,0.02770354,0.04002084,0.08037473,0.2055995,0.5404706
0.2823 ns,0.02862102,0.03417185,0.04536098,0.06402325,0.09702053,0.2070014,0.5404718
0.6507 ns,0.04965447,0.0574696,0.07462705,0.1054697,0.1531483,0.2415769,0.5416475
1.5000 ns,0.09361359,0.1031964,0.1264335,0.1733607,0.2520215,0.371645,0.6098326

"invx1  |  fall_transition  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.003646278,0.005591086,0.01094851,0.02532998,0.06312236,0.1638223,0.4310562
0.0231 ns,0.004277945,0.005889822,0.0109596,0.02533951,0.06312615,0.1638227,0.4310567
0.0531 ns,0.007409113,0.009512824,0.01344317,0.02567656,0.06314538,0.1638262,0.4310587
0.1225 ns,0.0128902,0.01589899,0.0221437,0.03300859,0.06442175,0.163854,0.4310614
0.2823 ns,0.0221264,0.0268219,0.03644418,0.05331783,0.08168884,0.1661909,0.4310677
0.6507 ns,0.04080579,0.04755511,0.06158407,0.08744499,0.1303768,0.2035973,0.434183
1.5000 ns,0.08163827,0.09006477,0.1093928,0.1467429,0.2120422,0.3200775,0.5109379


"invx2  |  cell_rise  (rows=input_transition, cols=cload)  [ns]"
tin \ cload,0.0005,0.0013,0.0035,0.0094,0.0249,0.0662,0.1758
0.0100 ns,0.007355296,0.008383038,0.01106669,0.01767115,0.03392591,0.07628654,0.1881964
0.0231 ns,0.01052695,0.01169094,0.01413321,0.02058655,0.03692234,0.07941625,0.1914045
