cell,rc_rise_ns,nldm_rise_ns,rc_fall_ns,nldm_fall_ns
invx1,0.0539436,0.08231017,0.0229162,0.08003286
invx2,0.0269718,0.05918837,0.0114581,0.05558238
invx4,0.0134859,0.044111420000000005,0.0057291,0.03847397
invx8,0.0067429,0.03354647,0.0028645,0.02729762
nand2x1,0.0269718,0.08566894,0.0229162,0.06894317
nand2x2,0.0134859,0.06228789,0.0114581,0.0465436
nand2x4,0.0067429,0.048164900000000004,0.0057291,0.03289399
nor2x1,0.0539436,0.08353003,0.0114581,0.08545999
nor2x2,0.0269718,0.05863592,0.0057291,0.060233289999999995
nor2x4,0.0134859,0.04320969,0.0028645,0.0437719
maj3x1,0.0103265,0.09148367,0.0410313,0.11963480000000001
maj3x2,0.0051633,0.07610265000000001,0.0205157,0.08886681
maj3x4,0.0025816,0.06854645000000001,0.0102578,0.07550513
